"Freq [GHz]","Phase [deg]","Distance [um]","(phase3*180/pi) []","phase4*180/pi []"
181,0,0,-61.2487118392416,127.663002966454
181,0,6.78,-61.4390828617511,127.658122702122
181,0,13.56,-61.452876085533,127.653258239474
181,0,20.34,-61.466649226962,127.648409501885
181,0,27.12,-61.4804023282955,127.643576413224
181,0,33.9,-61.4941354316775,127.638758897849
181,0,40.68,-61.5078485791384,127.633956880606
181,0,47.46,-61.5215418125958,127.629170286823
181,0,54.24,-61.5352151738544,127.624399042307
181,0,61.02,-61.5488687046071,127.619643073337
181,0,67.8,-61.5625024464346,127.614902306667
181,0,74.58,-61.576116440806,127.610176669514
181,0,81.36,-61.5897107290795,127.605466089561
181,0,88.14,-61.6032853525023,127.600770494952
181,0,94.92,-61.2751223474597,127.596089814283
181,0,101.7,-61.2820382462932,127.591423976605
181,0,108.48,-61.2889381814387,127.58677291142
181,0,115.26,-61.2958222078895,127.58213654867
181,0,122.04,-61.3026903803879,127.577514818744
181,0,128.82,-61.3095427534259,127.572907652467
181,0,135.6,-61.3163793812471,128.005680196156
181,0,142.38,-61.3232003178481,127.300660796142
181,0,149.16,-61.3300056169796,127.932410679864
181,0,155.94,-61.336795332148,127.933456743749
181,0,162.72,-61.3435695166168,127.934503756601
181,0,169.5,-61.3503282234077,127.935551719724
181,0,176.28,-61.3570715053026,127.936600634426
181,0,183.06,-61.3637994148442,127.937650502015
181,0,189.84,-61.1684075367823,127.938701323804
181,0,196.62,-61.1694517366929,127.939753101105
181,0,203.4,-61.1704969428374,127.940805835237
181,0,210.18,-61.1715431566718,127.941859527518
181,0,216.96,-61.1725903796551,127.942914179269
181,0,223.74,-61.1736386132494,127.943969791815
181,0,230.52,-61.1746878589191,127.94502636648
181,0,237.3,-61.1757381181317,127.946083904595
181,0,244.08,-61.1767893923575,127.94714240749
181,0,250.86,-61.1778416830698,127.948201876498
181,0,257.64,-61.1827852428688,127.945064534712
181,0,264.42,-61.1789373437404,127.943348967655
181,0,271.2,-61.175085628924,127.941630825507
181,0,277.98,-61.1712300928131,127.939910102463
181,0,284.76,-61.1673707297903,127.938186792697
181,0,291.54,-61.1635075342273,127.936460890369
181,0,298.32,-61.1514290135377,128.07095954375
181,0,305.1,-61.1435511253138,128.067528075376
181,0,311.88,-61.1356807168543,128.064097752754
181,0,318.66,-61.1278177778852,127.983587232329
181,0,325.44,-61.1199622981504,127.972570401194
181,0,332.22,-61.1121142674119,127.961591309276
181,0,339,-61.1042736754502,127.950649763832
181,0,345.78,-61.2003920847762,127.906952436116
181,0,352.56,-61.2048589047659,127.907384454241
181,0,359.34,-61.2093262753606,127.907815930699
181,0,366.12,-61.2137941965927,127.908246866461
181,0,372.9,-61.3446503340452,127.90867726249
181,0,379.68,-61.3326827322066,127.909107119752
181,0,386.46,-61.3207136390978,127.909536439206
181,0,393.24,-61.3087430554667,127.909965221813
181,0,400.02,-61.2967709820619,127.910393468528
181,0,406.8,-61.2847974196328,127.910821180306
181,0,413.58,-61.2728223689293,127.9112483581
181,0,420.36,-61.2608458307021,127.911675002858
181,0,427.14,-61.2488678057027,127.912101115529
181,0,433.92,-61.2379178032715,127.912526697059
181,0,440.7,-61.2312214764101,127.91295174839
181,0,447.48,-61.2245259681109,127.98556693403
181,0,454.26,-61.2178312784159,127.99288865143
181,0,461.04,-61.2588604018529,128.000221557867
181,0,467.82,-61.2639613452282,128.007565678789
181,0,474.6,-61.2690599665544,127.629802711181
181,0,481.38,-61.274156267319,127.952293133379
181,0,488.16,-61.279250249008,127.921055376963
181,0,494.94,-61.2843419131064,127.889869437974
181,0,501.72,-61.2894312610978,127.858735206108
181,0,508.5,-61.2945182944648,127.827652571302
181,0,515.28,-61.2996030146889,127.796621423738
181,0,522.06,-61.30468542325,127.765641653839
181,0,528.84,-61.3311220709034,127.734713152269
181,0,535.62,-61.3251492498838,127.703835809935
181,0,542.4,-61.3191771719761,127.673009517986
181,0,549.18,-61.2724568816777,127.873113473452
181,0,555.96,-61.2720267800879,127.86241010333
181,0,562.74,-61.2715945544109,127.85167829573
181,0,569.52,-61.2711601889819,127.840917937881
181,0,576.3,-61.270723667982,127.830128916422
181,0,583.08,-61.3623113766681,127.819311117395
181,0,589.86,-61.3677350268963,127.985198633024
181,0,596.64,-61.3731625991001,127.976288042366
181,0,603.42,-61.3785940974862,127.967379332454
181,0,610.2,-61.5669291633599,127.958472503141
181,0,616.98,-61.5385520700453,127.949567554282
181,0,623.76,-61.5101203534147,127.940664485728
181,0,630.54,-61.4816338696244,127.931763297332
181,0,637.32,-61.4530924743842,127.922863988945
181,0,644.1,-61.4244960229562,127.913966560421
181,0,650.88,-61.3958443701529,127.905071011609
181,0,657.66,-61.3671373703364,127.896177342362
181,0,664.44,-61.3383748774165,127.88728555253
181,0,671.22,-61.3095567448496,127.878395641963
181,0,678,-61.2806828256369,127.869507610513
182.625,0,0,-75.6373523037571,113.393952260045
182.625,0,6.78,-75.8326392593247,113.388940181513
182.625,0,13.56,-75.8467798311203,113.383944644148
182.625,0,20.34,-75.8608994847919,113.378965566289
182.625,0,27.12,-75.8749982649997,113.374002866815
182.625,0,33.9,-75.8890762162825,113.369056465132
182.625,0,40.68,-75.9031333830575,113.364126281178
182.625,0,47.46,-75.9171698096207,113.35921223541
182.625,0,54.24,-75.9311855401477,113.354314248808
182.625,0,61.02,-75.9451806186939,113.349432242863
182.625,0,67.8,-75.9591550891947,113.344566139578
182.625,0,74.58,-75.973108995466,113.339715861463
182.625,0,81.36,-75.9870423812049,113.334881331528
182.625,0,88.14,-76.0009552899896,113.330062473284
182.625,0,94.92,-75.6648791720354,113.325259210733
182.625,0,101.7,-75.6719839158833,113.32047146837
182.625,0,108.48,-75.6790719638927,113.315699171175
182.625,0,115.26,-75.6861433746192,113.31094224461
182.625,0,122.04,-75.6931982063462,113.306200614615
182.625,0,128.82,-75.7002365170859,113.301474207606
182.625,0,135.6,-75.7072583645813,113.745574486074
182.625,0,142.38,-75.7142638063075,113.022095662357
182.625,0,149.16,-75.7212528994736,113.670813049807
182.625,0,155.94,-75.7282257010237,113.671897073919
182.625,0,162.72,-75.7351822676389,113.672982124555
182.625,0,169.5,-75.7421226557385,113.674068203154
182.625,0,176.28,-75.7490469214817,113.675155311155
182.625,0,183.06,-75.7559551207692,113.676243450001
182.625,0,189.84,-75.5554190130621,113.677332621136
182.625,0,196.62,-75.5564878003248,113.678422826009
182.625,0,203.4,-75.5575576351609,113.679514066072
182.625,0,210.18,-75.5586285191146,113.680606342776
182.625,0,216.96,-75.559700453733,113.681699657579
182.625,0,223.74,-75.5607734405662,113.682794011939
182.625,0,230.52,-75.5618474811674,113.683889407318
182.625,0,237.3,-75.562922577093,113.68498584518
182.625,0,244.08,-75.5639987299021,113.686083326993
182.625,0,250.86,-75.5650759411573,113.687181854226
182.625,0,257.64,-75.5701040071971,113.683693541695
182.625,0,264.42,-75.5661441694044,113.681918524351
182.625,0,271.2,-75.5621803795963,113.680140778363
182.625,0,277.98,-75.5582126318675,113.678360297465
182.625,0,284.76,-75.5542409203006,113.676577075375
182.625,0,291.54,-75.5502652389669,113.674791105789
182.625,0,298.32,-75.5377855363444,113.813271073664
182.625,0,305.1,-75.5296968004788,113.809761023232
182.625,0,311.88,-75.5216158065295,113.806252161527
182.625,0,318.66,-75.5135425437047,113.723931776572
182.625,0,325.44,-75.505477001232,113.71258113392
182.625,0,332.22,-75.4974191683581,113.701270058838
182.625,0,339,-75.4893690343493,113.689998345587
182.625,0,345.78,-75.5881241896128,113.644586667977
182.625,0,352.56,-75.5927146592124,113.645044413648
182.625,0,359.34,-75.5973056632654,113.645501613809
182.625,0,366.12,-75.601897201797,113.645958269452
182.625,0,372.9,-75.7362928128039,113.646414381567
182.625,0,379.68,-75.7240057585613,113.64686995114
182.625,0,386.46,-75.7117171927043,113.647324979157
182.625,0,393.24,-75.6994271161076,113.647779466599
182.625,0,400.02,-75.6871355296468,113.648233414447
182.625,0,406.8,-75.6748424341982,113.648686823678
182.625,0,413.58,-75.6625478306388,113.649139695268
182.625,0,420.36,-75.6502517198465,113.649592030189
182.625,0,427.14,-75.6379541026999,113.650043829412
182.625,0,433.92,-75.6267339265496,113.650495093905
182.625,0,440.7,-75.6198680649372,113.650945824634
182.625,0,447.48,-75.613003047744,113.725752554778
182.625,0,454.26,-75.6061388750067,113.733297415383
182.625,0,461.04,-75.648355369471,113.740854021907
182.625,0,467.82,-75.6535870635417,113.74842240153
182.625,0,474.6,-75.6588163284287,113.360157884686
182.625,0,481.38,-75.6640431657122,113.691903893645
182.625,0,488.16,-75.6692675769711,113.659769580197
182.625,0,494.94,-75.674489563783,113.627689334528
182.625,0,501.72,-75.6797091277242,113.595663040283
182.625,0,508.5,-75.6849262703699,113.563690581368
182.625,0,515.28,-75.6901409932938,113.531771841942
182.625,0,522.06,-75.6953532980684,113.499906706421
182.625,0,528.84,-75.7224859759954,113.468095059477
182.625,0,535.62,-75.7163448047793,113.436336786036
182.625,0,542.4,-75.7102044181755,113.404631771279
182.625,0,549.18,-75.6621110700477,113.609610134953
182.625,0,555.96,-75.6616912378841,113.598658920236
182.625,0,562.74,-75.6612692802914,113.587678137432
182.625,0,569.52,-75.6608451813205,113.576667667395
182.625,0,576.3,-75.6604189248621,113.565627390346
182.625,0,583.08,-75.7545944147057,113.554557185862
182.625,0,589.86,-75.7601738179287,113.725384922325
182.625,0,596.64,-75.7657573597511,113.716237243213
182.625,0,603.42,-75.7713450446983,113.707091530867
182.625,0,610.2,-75.9649775866059,113.697947785113
182.625,0,616.98,-75.9358183661778,113.688806005774
182.625,0,623.76,-75.9066019934253,113.679666192676
182.625,0,630.54,-75.8773283154261,113.670528345643
182.625,0,637.32,-75.8479971787774,113.661392464498
182.625,0,644.1,-75.8186084295944,113.652258549064
182.625,0,650.88,-75.7891619135082,113.643126599165
182.625,0,657.66,-75.759657475665,113.633996614624
182.625,0,664.44,-75.7300949607239,113.624868595262
182.625,0,671.22,-75.7004742128558,113.615742540902
182.625,0,678,-75.6707950757419,113.606618451365
184.25,0,0,-90.0293152976482,99.122756828114
184.25,0,6.78,-90.229589747389,99.117610818165
184.25,0,13.56,-90.2440825028394,99.1124820671665
184.25,0,20.34,-90.2585535148295,99.1073704883857
184.25,0,27.12,-90.2730028303905,99.1022759956696
184.25,0,33.9,-90.287430496424,99.0971985034399
184.25,0,40.68,-90.301836559702,99.0921379266883
184.25,0,47.46,-90.3162210668676,99.0870941809717
184.25,0,54.24,-90.3305840644354,99.0820671824079
184.25,0,61.02,-90.3449255987918,99.0770568476705
184.25,0,67.8,-90.3592457161955,99.0720630939843
184.25,0,74.58,-90.3735444627781,99.0670858391212
184.25,0,81.36,-90.387821884544,99.0621250013953
184.25,0,88.14,-90.4020780273714,99.0571804996585
184.25,0,94.92,-90.057989575056,99.0522522532963
184.25,0,101.7,-90.0652866283041,99.0473401822231
184.25,0,108.48,-90.0725662302024,99.0424442068782
184.25,0,115.26,-90.0798284430559,99.0375642482212
184.25,0,122.04,-90.0870733288745,99.032700227728
184.25,0,128.82,-90.0943009493747,99.0278520673865
184.25,0,135.6,-90.1015113659811,99.4834735947158
184.25,0,142.38,-90.1087046398288,98.7412257529478
184.25,0,149.16,-90.1158808317643,99.4072081755946
184.25,0,155.94,-90.1230400023477,99.4083318279612
184.25,0,162.72,-90.1301822118543,99.4094565454856
184.25,0,169.5,-90.1373075202761,99.4105823296846
184.25,0,176.28,-90.1444159873236,99.4117091820778
184.25,0,183.06,-90.1515076724272,99.4128371041877
184.25,0,189.84,-89.9457463617719,99.4139660975395
184.25,0,196.62,-89.9468399965219,99.4150961636616
184.25,0,203.4,-89.9479347285685,99.4162273040851
184.25,0,210.18,-89.9490305595575,99.4173595203441
184.25,0,216.96,-89.9501274911382,99.4184928139756
184.25,0,223.74,-89.9512255249632,99.4196271865196
184.25,0,230.52,-89.9523246626884,99.4207626395189
184.25,0,237.3,-89.9534249059729,99.4218991745193
184.25,0,244.08,-89.9545262564792,99.4230367930696
184.25,0,250.86,-89.9556287158732,99.4241754967214
184.25,0,257.64,-89.9607414609204,99.4203098733553
184.25,0,264.42,-89.9566675482268,99.4184734944916
184.25,0,271.2,-89.9525894766435,99.4166342432264
184.25,0,277.98,-89.9485072398288,99.4147921128304
184.25,0,284.76,-89.9444208314285,99.4129470965534
184.25,0,291.54,-89.9403302450754,99.4110991876237
184.25,0,298.32,-89.9274361841056,99.5536474063333
184.25,0,305.1,-89.9191323721205,99.5500577897151
184.25,0,311.88,-89.9108366753666,99.5464694133273
184.25,0,318.66,-89.9025490823371,99.462333880551
184.25,0,325.44,-89.8942695815457,99.4506413899665
184.25,0,332.22,-89.8859981615275,99.4389903919979
184.25,0,339,-89.8777348108382,99.4273806670298
184.25,0,345.78,-89.9791805280108,99.3801995603591
184.25,0,352.56,-89.983896479718,99.3806845972993
184.25,0,359.34,-89.9886129887444,99.3811690256767
184.25,0,366.12,-89.9933300551149,99.3816528466165
184.25,0,372.9,-90.1313249867836,99.3821360612413
184.25,0,379.68,-90.1187133339373,99.382618670671
184.25,0,386.46,-90.1061001189571,99.3831006760224
184.25,0,393.24,-90.0934853427401,99.3835820784099
184.25,0,400.02,-90.080869006184,99.384062878945
184.25,0,406.8,-90.0682511101876,99.3845430787366
184.25,0,413.58,-90.0556316556504,99.3850226788907
184.25,0,420.36,-90.0430106434727,99.3855016805108
184.25,0,427.14,-90.0303880745558,99.3859800846974
184.25,0,433.92,-90.0188969271517,99.3864578925485
184.25,0,440.7,-90.0118589960096,99.3869351051596
184.25,0,447.48,-90.0048219494391,99.4639852585798
184.25,0,454.26,-89.9977857874842,99.4717585586923
184.25,0,461.04,-90.0412102501538,99.4795441692176
184.25,0,467.82,-90.0465742960081,99.4873421191434
184.25,0,474.6,-90.0519358001239,99.0883694234734
184.25,0,481.38,-90.0572947642057,99.4295626785542
184.25,0,488.16,-90.0626511899568,99.3965130437782
184.25,0,494.94,-90.068005079079,99.3635198220235
184.25,0,501.72,-90.0733564332727,99.3305828908052
184.25,0,508.5,-90.0787052542369,99.2977021279074
184.25,0,515.28,-90.084051543669,99.2648774113825
184.25,0,522.06,-90.0893953032652,99.232108619551
184.25,0,528.84,-90.117241726052,99.1993956310016
184.25,0,535.62,-90.110929032948,99.1667383245902
184.25,0,542.4,-90.1046171741497,99.1341365794405
184.25,0,549.18,-90.0551226377501,99.3440529436056
184.25,0,555.96,-90.0547134725924,99.3328507699821
184.25,0,562.74,-90.0543021868183,99.321617839418
184.25,0,569.52,-90.0538887642419,99.3103540260482
184.25,0,576.3,-90.0534731885122,99.2990592033252
184.25,0,583.08,-90.1502897066035,99.2877332440135
184.25,0,589.86,-90.1560276181965,99.4636154880904
184.25,0,596.64,-90.1617698979614,99.4542266411352
184.25,0,603.42,-90.1675165507121,99.4448398402186
184.25,0,610.2,-90.3665526694046,99.4354550851749
184.25,0,616.98,-90.3365965830853,99.4260723758377
184.25,0,623.76,-90.3065807254598,99.4166917120403
184.25,0,630.54,-90.2765049339562,99.407313093616
184.25,0,637.32,-90.246369045485,99.3979365203972
184.25,0,644.1,-90.2161728964374,99.3885619922162
184.25,0,650.88,-90.1859163226829,99.3791895089051
184.25,0,657.66,-90.1555991595686,99.3698190702953
184.25,0,664.44,-90.125221241917,99.3604506762181
184.25,0,671.22,-90.0947824040244,99.3510843265042
184.25,0,678,-90.0642824796592,99.3417200209843
185.875,0,0,-104.424673579457,84.8493912433812
185.875,0,6.78,-104.630013418807,84.8441084497488
185.875,0,13.56,-104.644863267658,84.8388437052312
185.875,0,20.34,-104.659690502843,84.8335969175084
185.875,0,27.12,-104.674495174019,84.8283679948883
185.875,0,33.9,-104.689277330701,84.8231568463015
185.875,0,40.68,-104.704037022267,84.8179633812958
185.875,0,47.46,-104.718774297958,84.8127875100313
185.875,0,54.24,-104.733489206875,84.8076291432749
185.875,0,61.02,-104.748181797983,84.8024881923955
185.875,0,67.8,-104.762852120111,84.7973645693588
185.875,0,74.58,-104.777500221951,84.7922581867222
185.875,0,81.36,-104.792126152058,84.7871689576298
185.875,0,88.14,-104.806729958853,84.7820967958079
185.875,0,94.92,-104.454536971387,84.7770416155597
185.875,0,101.7,-104.46202964114,84.7720033317605
185.875,0,108.48,-104.469504071245,84.7669818598533
185.875,0,115.26,-104.476960327974,84.7619771158438
185.875,0,122.04,-104.484398477276,84.7569890162958
185.875,0,128.82,-104.491818584784,84.7520174783265
185.875,0,135.6,-104.499220715817,85.2193612896197
185.875,0,142.38,-104.506604935379,84.4580222201731
185.875,0,149.16,-104.51397130816,85.1415767826152
185.875,0,155.94,-104.521319898544,85.1427409825476
185.875,0,162.72,-104.528650770603,85.1439063095918
185.875,0,169.5,-104.535963988107,85.1450727653816
185.875,0,176.28,-104.543259614517,85.1462403515541
185.875,0,183.06,-104.550537712994,85.1474090697495
185.875,0,189.84,-104.339466684045,85.1485789216111
185.875,0,196.62,-104.340585596234,85.1497499087856
185.875,0,203.4,-104.341705647764,85.1509220329227
185.875,0,210.18,-104.342826840375,85.1520952956752
185.875,0,216.96,-104.343949175809,85.1532696986994
185.875,0,223.74,-104.345072655813,85.1544452436546
185.875,0,230.52,-104.346197282137,85.1556219322034
185.875,0,237.3,-104.347323056534,85.1567997660115
185.875,0,244.08,-104.348449980761,85.1579787467481
185.875,0,250.86,-104.349578056578,85.1591588760854
185.875,0,257.64,-104.354775057728,85.1548991652006
185.875,0,264.42,-104.350584484153,85.1529995223488
185.875,0,271.2,-104.346389545639,85.1510968676626
185.875,0,277.98,-104.342190235424,85.1491911939558
185.875,0,284.76,-104.337986546735,85.1472824940199
185.875,0,291.54,-104.333778472786,85.1453707606231
185.875,0,298.32,-104.320457657457,85.292072919096
185.875,0,305.1,-104.311935304554,85.2884031766678
185.875,0,311.88,-104.303421409236,85.2847347414739
185.875,0,318.66,-104.294915959293,85.1987683884937
185.875,0,325.44,-104.286418942533,85.1867263710737
185.875,0,332.22,-104.277930346789,85.1747278749341
185.875,0,339,-104.269450159916,85.1627726655527
185.875,0,345.78,-104.373637486149,85.1137671908672
185.875,0,352.56,-104.378481344612,85.1142805511382
185.875,0,359.34,-104.383325788353,85.114793264584
185.875,0,366.12,-104.388170817415,85.1153053324232
185.875,0,372.9,-104.529828664429,85.1158167558711
185.875,0,379.68,-104.516886721854,85.1163275361402
185.875,0,386.46,-104.503943182854,85.1168376744398
185.875,0,393.24,-104.490998048422,85.1173471719761
185.875,0,400.02,-104.47805131955,85.1178560299525
185.875,0,406.8,-104.465102997231,85.1183642495692
185.875,0,413.58,-104.452153082461,85.1188718320235
185.875,0,420.36,-104.439201576235,85.1193787785097
